"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5"
"énergie";-1,42;6,284;-2,031;-1,59;1,629
"éléphant";-1,013;-1,221;-1,45;-1,135;17,079
"éloquence";1,172;-0,033;-1,74;-0,013;0,389
"école";0;8,461;-0,115;-1,362;-1,764
"éclair";0;-1,465;-0,115;-1,362;6,635
"xv";-1,013;-1,221;-1,45;22,12;-1,47
"xiv";-1,216;-1,465;-1,74;26,555;-1,764
"volontairement";0,036;0,001;-1,45;-1,135;3,979
"voiler";0;0,721;-1,74;-1,362;2,559
"vilain";-0,607;0,36;0,205;0,441;-0,881
"vide";-1,216;-1,465;-0,115;16,808;-1,764
"victime";10,681;-1,465;-1,74;-1,362;0,389
"vestibule";-1,216;-0,033;-1,74;16,808;-1,764
"valeur";-1,42;0,359;-0,268;2,774;-0,282
"user";14,962;-1,71;-2,031;-1,59;0,139
"unique";-1,42;-1,71;-2,031;21,084;-0,282
"témoin";1,924;-1,221;-0,017;-1,135;0,857
"tremblement";-0,81;-0,976;13,847;-0,907;-1,175
"tigre";-1,013;-1,221;-0,017;-1,135;9,386
"tendrement";0;-1,465;12,813;-1,362;-1,764
"tarder";0;-1,465;-1,74;3,972;0,389
"taille";-0,032;-1,71;0,152;0,476;0,139
"sûreté";29,742;-1,465;-1,74;-1,362;-1,764
"sûrement";0,192;0,074;-1,159;2,646;-1,175
"spectateur";1,924;0,001;-1,45;0,008;-0,021
"soupçonner";0;-0,033;0,41;-0,013;-0,124
"somme";-0,607;4,226;-0,869;0,441;-0,881
"sombre";-1,42;-1,71;-2,031;2,774;4,754
"sincère";4,732;3,531;-1,74;-1,362;-1,764
"sexe";1,172;-0,033;-1,74;-1,362;2,559
"servitude";4,732;-1,465;-1,74;-0,013;0,389
"service";0;-0,033;0,41;-0,013;-0,124
"sensibilité";0,693;-0,125;-0,268;-1,59;1,629
"second";-1,013;0,001;0,888;0,008;-0,021
"sauvage";-1,013;-1,221;-0,017;-1,135;9,386
"sanglant";24,775;-1,221;-1,45;-1,135;-1,47
"sang_froid";-1,013;0,001;4,061;0,008;-1,47
"révéler";0;-1,465;-1,74;-1,362;12,616
"réveiller";-1,216;-1,465;-1,74;-1,362;20,502
"réfléchir";3,152;-0,976;-1,159;-0,907;1,705
"retenir";-1,013;-1,221;-1,45;0,008;9,386
"remède";0;0,721;-1,74;-0,013;0,389
"remords";0,192;-0,976;0,015;-0,907;1,705
"remonter";0,585;-0,732;0,205;-0,68;0,194
"religieux";0;3,531;-1,74;0,883;-1,764
"recommander";-0,032;-1,71;4,857;-1,59;0,139
"recherche";0;8,461;-1,74;-0,013;-1,764
"rapide";-1,013;0,001;-1,45;0,008;3,979
"raconter";-1,216;3,531;2,625;-1,362;-1,764
"quelqu";19,812;-0,976;-1,159;-0,907;-1,175
"quatrième";-1,013;-1,221;17,316;-1,135;-1,47
"pâlir";0,036;-1,221;-0,017;-1,135;3,979
"publiquement";0,192;2,352;-1,159;0,114;-1,175
"prêcher";0;-0,033;-0,115;-0,013;0,389
"provision";-0,81;0,074;1,748;-0,907;0,012
"presse";8,157;-0,125;-2,031;0,476;-2,059
"pompe";1,172;-0,033;-1,74;0,883;-0,124
"politesse";-1,013;1,325;4,061;-1,135;-1,47
"planter";0,192;0,074;0,015;-0,907;0,012
"pierreries";-1,216;-1,465;12,813;-0,013;-1,764
"pesant";-1,013;0,001;-0,017;1,543;-0,021
"perpétuel";-1,42;11,975;-2,031;-1,59;0,139
"paraguay";-1,013;-1,221;9,537;-1,135;-0,021
"ostentation";10,681;-0,033;-1,74;-1,362;-0,124
"organe";3,401;-1,71;-2,031;-1,59;4,754
"oraison";-1,42;-0,125;-2,031;21,084;-2,059
"opposé";-0,032;19,484;-2,031;-1,59;-2,059
"odieux";1,172;-0,033;-1,74;-1,362;2,559
"occasion";0,192;0,074;0,015;-0,907;0,012
"obéir";1,172;-1,465;-0,115;-1,362;2,559
"méditer";-1,013;1,325;-1,45;1,543;-0,021
"millier";-1,013;1,325;-1,45;5,74;-1,47
"mensonge";5,334;-0,732;-0,869;-0,68;0,194
"mari";1,924;-1,221;-0,017;0,008;-0,021
"marc";3,401;-1,71;0,152;-1,59;0,139
"machine";1,172;-1,465;0,41;0,883;-1,764
"législateur";14,293;-1,221;-1,45;-1,135;-0,021
"lugubre";-1,013;-1,221;-1,45;12,599;-0,021
"liqueur";0,585;-0,732;3,375;-0,68;-0,881
"laquais";0,192;-0,976;0,015;2,646;-1,175
"justement";3,401;0,359;-0,268;-1,59;-0,282
"jusqu_aux";0;-0,033;-0,115;-0,013;0,389
"jurer";-1,42;-1,71;16,147;-1,59;-0,282
"joug";8,157;-0,125;-2,031;-1,59;0,139
"jeunesse";1,172;-0,033;-1,74;0,883;-0,124
"invention";-1,216;-0,033;-1,74;-1,362;12,616
"interdire";0,585;0,36;-0,869;-0,68;0,194
"insensé";-0,81;-0,976;-1,159;8,505;0,012
"inquiétude";-1,42;-0,125;-0,268;-0,081;4,754
"innombrable";-1,216;0,721;-1,74;0,883;0,389
"injustice";0,585;-0,732;0,205;-0,68;0,194
"infiniment";-0,032;6,284;-0,268;-0,081;-2,059
"inconcevable";1,172;-0,033;-1,74;-1,362;2,559
"incendie";9,693;0,074;-1,159;-0,907;-1,175
"hôpital";0,585;-0,732;-0,869;0,441;0,194
"heureusement";0,036;-1,221;0,888;0,008;-0,021
"haïr";-0,81;2,352;0,015;-0,907;0,012
"hardi";0;0,721;-1,74;-0,013;0,389
"habiller";-1,216;-1,465;0,41;9,281;-1,764
"gêner";0,036;0,001;-1,45;5,74;-1,47
"guères";-1,013;-1,221;-1,45;22,12;-1,47
"fête";-0,032;-1,71;-2,031;6,974;0,139
"foudre";-0,81;-0,976;-1,159;-0,907;13,657
"filer";-1,013;-1,221;-1,45;22,12;-1,47
"fesser";-0,607;-0,732;10,381;-0,68;-0,881
"façon";-1,216;-1,465;-0,115;16,808;-1,764
"fatigue";3,152;-0,976;0,015;0,114;-1,175
"faste";14,962;-0,125;-2,031;-0,081;-2,059
"fanatisme";1,924;1,325;-1,45;-1,135;-0,021
"expirer";3,152;-0,976;-1,159;-0,907;1,705
"existence";-1,42;-0,125;-2,031;-0,081;9,512
"excès";14,962;-1,71;-2,031;-1,59;0,139
"enterrer";-0,81;-0,976;6,359;-0,907;0,012
"entasser";0,036;11,606;-1,45;-1,135;-1,47
"enflammer";0;-1,465;-1,74;-1,362;12,616
"effrayant";-0,81;-0,976;-1,159;0,114;6,253
"désert";-0,032;-1,71;-0,268;0,476;1,629
"dépenser";4,732;-0,033;-0,115;-0,013;-1,764
"déjeuner";-0,81;-0,976;13,847;-0,907;-1,175
"dégoût";-1,216;0,721;-1,74;9,281;-1,764
"douter";0,036;-1,221;4,061;-1,135;-0,021
"distinction";14,293;-1,221;-1,45;0,008;-1,47
"diriger";-0,81;2,352;-1,159;0,114;0,012
"différence";-1,216;-1,465;-0,115;16,808;-1,764
"destinée";-1,216;-0,033;12,813;-1,362;-1,764
"destin";0;3,531;-1,74;-0,013;-0,124
"dessein";0,036;-1,221;-1,45;0,008;3,979
"damoiseau";-1,216;-1,465;20,787;-1,362;-1,764
"céleste";-0,81;-0,976;-1,159;0,114;6,253
"courtisan";1,924;-1,221;-1,45;5,74;-1,47
"cou";-1,013;-1,221;17,316;-1,135;-1,47
"corriger";3,401;6,284;-2,031;-1,59;-2,059
"cordelier";-1,216;-1,465;20,787;-1,362;-1,764
"convaincre";3,152;-0,976;0,015;-0,907;0,012
"contredire";-1,216;3,531;-0,115;-0,013;-0,124
"contemporain";10,681;-1,465;-1,74;-1,362;0,389
"consolant";-1,42;-1,71;-2,031;-0,081;15,904
"conseil";0;-1,465;6,759;-1,362;-0,124
"comparaison";-1,013;0,001;-1,45;5,74;-0,021
"clarté";-0,607;-0,732;-0,869;0,441;3,314
"circulation";0,192;0,074;-1,159;2,646;-1,175
"cieux";-1,42;-1,71;-2,031;-0,081;15,904
"choix";0,192;0,074;-1,159;-0,907;1,705
"charité";-1,216;-1,465;-0,115;3,972;0,389
"charitable";-0,032;6,284;-0,268;-1,59;-0,282
"changement";10,681;-1,465;-1,74;-0,013;-0,124
"chagrin";0;0,721;-0,115;-0,013;-0,124
"casser";0,585;-0,732;0,205;0,441;-0,881
"carrosse";-1,216;-1,465;2,625;0,883;-0,124
"calamité";1,172;-1,465;0,41;-0,013;-0,124
"cadix";-1,216;-1,465;20,787;-1,362;-1,764
"bâton";-1,216;-0,033;-0,115;-1,362;6,635
"bleu";-1,42;-0,125;-2,031;13,078;-0,282
"avidité";0,036;1,325;-1,45;1,543;-1,47
"avare";0,192;0,074;-1,159;-0,907;1,705
"aurore";0,192;-0,976;-1,159;-0,907;6,253
"augmenter";1,172;-0,033;-0,115;-0,013;-0,124
"astre";-1,42;0,359;-2,031;-1,59;9,512
"arroser";-0,607;-0,732;3,375;-0,68;0,194
"armée";-1,216;0,721;-0,115;-1,362;2,559
"armer";10,681;-1,465;-0,115;-0,013;-1,764
"ardent";0;-1,465;-1,74;-1,362;12,616
"appuyer";-0,81;2,352;0,015;-0,907;0,012
"ambitieux";0,585;-0,732;-0,869;0,441;0,194
"agiter";-0,81;-0,976;-1,159;-0,907;13,657
"acquérir";0,036;11,606;-1,45;-1,135;-1,47
"accourir";1,924;-1,221;0,888;-1,135;-0,021
"abominable";-0,81;-0,976;13,847;-0,907;-1,175
"éviter";9,693;-0,976;-1,159;-0,907;0,012
"étoile";-1,216;-1,465;-1,74;16,808;-0,124
"étoffe";-0,81;-0,976;6,359;0,114;-1,175
"éclatant";-1,013;1,325;-0,017;-1,135;0,857
"écarter";0;-0,033;-1,74;-0,013;2,559
"vol";1,172;-0,033;-1,74;-1,362;2,559
"voie";-1,216;-1,465;-1,74;-0,013;12,616
"vivement";-0,607;-0,732;-0,869;-0,68;10,239
"visiter";-0,81;2,352;-1,159;2,646;-1,175
"virgile";-0,81;2,352;0,015;0,114;-1,175
"vigoureux";0,036;0,001;-0,017;1,543;-1,47
"vigilant";-1,216;15,513;-0,115;-1,362;-1,764
"vengeur";1,924;-1,221;-1,45;-1,135;3,979
"varié";-0,607;-0,732;-0,869;0,441;3,314
"tôt";0,036;0,001;-1,45;1,543;-0,021
"trompette";0,036;1,325;-1,45;0,008;-0,021
"tournant";0;-1,465;6,759;-0,013;-1,764
"torrent";-0,81;-0,976;-1,159;0,114;6,253
"toile";0,585;-0,732;-0,869;4,635;-0,881
"tailler";-0,81;0,074;-1,159;0,114;1,705
"sénateur";0;-1,465;12,813;-1,362;-1,764
"supérieur";-0,81;0,074;1,748;0,114;-1,175
"sultan";-0,81;-0,976;13,847;-0,907;-1,175
"succès";10,681;0,721;-1,74;-1,362;-1,764
"substituer";1,172;8,461;-1,74;-1,362;-1,764
"subir";0,585;-0,732;-0,869;4,635;-0,881
"soulever";-1,216;-1,465;-1,74;-0,013;12,616
"solliciter";0,585;-0,732;-0,869;-0,68;3,314
"signal";-1,216;-1,465;-1,74;-0,013;12,616
"sagement";-1,216;3,531;-1,74;3,972;-1,764
"rousseau";-1,216;-1,465;-1,74;26,555;-1,764
"rouler";6,676;1,325;-1,45;-1,135;-1,47
"retomber";-1,216;-1,465;-1,74;-1,362;20,502
"retentir";0,585;0,36;-0,869;0,441;-0,881
"ressource";0,036;5,193;-1,45;-1,135;-0,021
"respectueux";-1,216;-1,465;-0,115;-0,013;6,635
"reculer";-1,013;-1,221;0,888;0,008;0,857
"raisonnable";-1,013;11,606;-0,017;-1,135;-1,47
"radieux";-0,81;-0,976;-1,159;0,114;6,253
"querelle";-1,013;-1,221;4,061;1,543;-1,47
"pâle";0,192;-0,976;-1,159;2,646;0,012
"pyramide";-0,81;0,074;-1,159;8,505;-1,175
"pus";-0,607;0,36;-0,869;4,635;-0,881
"préserver";0,036;1,325;-1,45;0,008;-0,021
"préférable";4,732;-0,033;-0,115;-0,013;-1,764
"précepteur";-1,216;-0,033;2,625;0,883;-1,764
"progrès";-1,216;15,513;-1,74;-0,013;-1,764
"profusion";-1,216;-1,465;-1,74;26,555;-1,764
"profondeur";1,172;-1,465;-1,74;-1,362;6,635
"profiter";-0,81;-0,976;-1,159;17,689;-1,175
"probité";-1,216;24,687;-1,74;-1,362;-1,764
"privé";0,036;-1,221;-0,017;-1,135;3,979
"poussière";0,585;-0,732;-0,869;0,441;0,194
"poudre";1,924;0,001;-1,45;0,008;-0,021
"portion";-1,216;0,721;-1,74;-0,013;2,559
"police";-1,216;8,461;-1,74;-0,013;-0,124
"planche";-0,81;2,352;0,015;-0,907;0,012
"permission";0,192;0,074;0,015;0,114;-1,175
"perle";0,036;-1,221;4,061;-1,135;-0,021
"perfide";1,924;-1,221;-1,45;-1,135;3,979
"orner";-1,013;0,001;-0,017;-1,135;3,979
"ordonnance";0,585;4,226;-0,869;-0,68;-0,881
"ordinairement";1,172;0,721;-1,74;-0,013;-0,124
"opérer";1,924;0,001;-1,45;-1,135;0,857
"océan";0,036;5,193;-1,45;-1,135;-0,021
"nécessité";24,775;-1,221;-1,45;-1,135;-1,47
"noyer";-0,81;0,074;6,359;-0,907;-1,175
"nord";14,293;-1,221;-0,017;-1,135;-1,47
"noeud";29,742;-1,465;-1,74;-1,362;-1,764
"naturellement";0;-0,033;0,41;0,883;-1,764
"métairie";-1,216;-1,465;20,787;-1,362;-1,764
"mélange";6,676;-1,221;-1,45;-1,135;0,857
"médecine";9,693;0,074;-1,159;-0,907;-1,175
"mutuel";1,924;0,001;-1,45;0,008;-0,021
"murmurer";0,585;-0,732;-0,869;0,441;0,194
"muet";-1,013;-1,221;-0,017;-1,135;9,386
"modeste";-1,216;0,721;-1,74;0,883;0,389
"mariage";5,334;-0,732;-0,869;0,441;-0,881
"manteau";-0,81;-0,976;0,015;-0,907;6,253
"mahomet";3,152;0,074;-1,159;0,114;-1,175
"loger";0,585;-0,732;0,205;0,441;-0,881
"lent";5,334;-0,732;-0,869;-0,68;0,194
"laborieux";0,192;2,352;-1,159;-0,907;0,012
"jugement";-0,607;0,36;3,375;-0,68;-0,881
"jouissance";-1,013;-1,221;-1,45;-1,135;17,079
"jalousie";-0,81;0,074;0,015;2,646;-1,175
"intelligent";-1,216;-0,033;-1,74;0,883;2,559
"institution";-1,013;11,606;-1,45;-1,135;-0,021
"inquisition";0,192;0,074;0,015;0,114;-1,175
"ingrat";0;-1,465;-0,115;-1,362;6,635
"imposant";0;-1,465;-1,74;-1,362;12,616
"immortalité";-1,013;1,325;-1,45;1,543;-0,021
"imbécille";10,681;-1,465;-1,74;0,883;-1,764
"illustre";-1,013;11,606;-0,017;-1,135;-1,47
"illusion";-0,81;0,074;0,015;-0,907;1,705
"ii";9,693;-0,976;-1,159;-0,907;0,012
"hollande";-0,81;-0,976;6,359;-0,907;0,012
"générosité";1,924;-1,221;-0,017;-1,135;0,857
"guère";-1,013;-1,221;-0,017;1,543;0,857
"gueux";-1,013;-1,221;17,316;-1,135;-1,47
"gré";0,192;0,074;-1,159;0,114;0,012
"gaieté";0,036;-1,221;-1,45;5,74;-0,021
"gage";-0,607;0,36;0,205;0,441;-0,881
"futile";3,152;0,074;-1,159;-0,907;0,012
"fréquenter";-1,013;1,325;-1,45;1,543;-0,021
"frémir";6,676;0,001;-0,017;-1,135;-1,47
"fripon";0,192;0,074;1,748;-0,907;-1,175
"fragile";0,036;-1,221;-1,45;0,008;3,979
"fouet";-0,607;-0,732;-0,869;-0,68;10,239
"fortement";10,681;-0,033;-1,74;-0,013;-1,764
"figurer";0,192;-0,976;0,015;0,114;0,012
"feuillée";-1,013;-1,221;17,316;-1,135;-1,47
"favorable";-1,013;5,193;-1,45;0,008;-0,021
"fantôme";1,924;0,001;-0,017;-1,135;-0,021
"fanatique";0,192;0,074;-1,159;-0,907;1,705
"faix";3,152;-0,976;-1,159;-0,907;1,705
"extrêmement";-1,013;0,001;-0,017;5,74;-1,47
"exempt";-1,216;-1,465;20,787;-1,362;-1,764
"européen";-0,607;-0,732;0,205;-0,68;3,314
"eunuque";-1,013;-1,221;9,537;-1,135;-0,021
"entreprendre";5,334;-0,732;-0,869;0,441;-0,881
"ensevelir";0;-0,033;-0,115;-0,013;0,389
"enfuir";-0,607;-0,732;10,381;-0,68;-0,881
"enfanter";-0,81;-0,976;-1,159;0,114;6,253
"empoisonner";-0,81;0,074;-1,159;8,505;-1,175
"employé";0;3,531;-1,74;-0,013;-0,124
"embarras";-1,216;0,721;-0,115;3,972;-1,764
"dôme";-0,81;-0,976;-1,159;8,505;0,012
"détourner";-0,81;2,352;1,748;-0,907;-1,175
"désordre";-0,81;2,352;-1,159;-0,907;1,705
"dépouille";0,036;1,325;-0,017;-1,135;-0,021
"dépositaire";10,681;-1,465;-0,115;-1,362;-0,124
"dépendre";0,192;2,352;-1,159;-0,907;0,012
"délicat";0,036;-1,221;-1,45;0,008;3,979
"décéder";0;-0,033;-1,74;-0,013;2,559
"déclarer";0,036;-1,221;-1,45;0,008;3,979
"double";0,036;0,001;-1,45;1,543;-0,021
"distribuer";-0,81;0,074;-1,159;2,646;0,012
"distingué";-1,013;-1,221;-1,45;22,12;-1,47
"distinctement";-1,013;-1,221;-0,017;12,599;-1,47
"dissoudre";1,924;0,001;-1,45;0,008;-0,021
"dissiper";1,924;-1,221;-0,017;0,008;-0,021
"discorde";1,924;0,001;-1,45;1,543;-1,47
"disciple";-0,607;0,36;0,205;0,441;-0,881
"danger";3,152;-0,976;-1,159;-0,907;1,705
"césar";14,293;-1,221;-1,45;-1,135;-0,021
"culte";1,924;1,325;-1,45;-1,135;-0,021
"création";-1,013;0,001;-1,45;5,74;-0,021
"cruauté";0,585;0,36;0,205;-0,68;-0,881
"croître";0;-1,465;-1,74;-0,013;6,635
"courageux";-0,81;-0,976;-1,159;-0,907;13,657
"coquin";-1,013;0,001;9,537;-1,135;-1,47
"convive";-1,216;-1,465;12,813;-0,013;-1,764
"contenter";19,812;-0,976;-1,159;-0,907;-1,175
"conte";-1,013;-1,221;0,888;-1,135;3,979
"conscience";0,036;-1,221;-1,45;-1,135;9,386
"confusion";-1,216;-0,033;-0,115;3,972;-0,124
"conduite";0;8,461;-1,74;-1,362;-0,124
"condition";0,192;-0,976;6,359;-0,907;-1,175
"concitoyen";14,293;-1,221;-1,45;-1,135;-0,021
"comédie";-0,81;0,074;0,015;2,646;-1,175
"compagnon";-1,013;-1,221;-0,017;12,599;-1,47
"commodité";19,017;-1,465;-0,115;-1,362;-1,764
"commode";-0,81;-0,976;-1,159;17,689;-1,175
"collège";0,585;0,36;0,205;-0,68;-0,881
"cochon";-1,013;-1,221;-0,017;12,599;-1,47
"cité";1,924;0,001;-1,45;-1,135;0,857
"cinquième";-0,81;0,074;1,748;0,114;-1,175
"chimère";19,812;-0,976;-1,159;-0,907;-1,175
"chef_d_oeuvre";-1,013;-1,221;-0,017;12,599;-1,47
"char";1,924;-1,221;-1,45;0,008;0,857
"chaleur";-1,013;-1,221;-1,45;0,008;9,386
"certainement";-1,013;0,001;4,061;0,008;-1,47
"cercueil";0,036;-1,221;-1,45;0,008;3,979
"carte";-0,81;-0,976;1,748;2,646;-1,175
"carrière";-0,81;0,074;-1,159;0,114;1,705
"cardinal";-1,013;1,325;-1,45;5,74;-1,47
"canal";0;-1,465;0,41;0,883;-0,124
"cachet";-0,81;-0,976;-1,159;17,689;-1,175
"buste";-1,216;-0,033;-1,74;16,808;-1,764
"brûlant";14,853;-0,732;-0,869;-0,68;-0,881
"broder";-1,013;11,606;-0,017;-1,135;-1,47
"boutique";-0,607;4,226;-0,869;-0,68;0,194
"bassesse";-0,81;-0,976;-1,159;8,505;0,012
"balancer";-0,81;2,352;0,015;0,114;-1,175
"baguette";0,585;-0,732;0,205;-0,68;0,194
"avide";-0,607;-0,732;-0,869;0,441;3,314
"avarice";29,742;-1,465;-1,74;-1,362;-1,764
"audace";0,192;0,074;-1,159;0,114;0,012
"attribut";0;-0,033;-1,74;-1,362;6,635
"article";-1,013;0,001;-1,45;5,74;-0,021
"arranger";-1,216;-0,033;-0,115;9,281;-1,764
"approfondi";-1,013;20,564;-1,45;-1,135;-1,47
"applaudissement";0,192;-0,976;-1,159;0,114;1,705
"annonce";-1,216;0,721;-0,115;-0,013;0,389
"andalou";-1,216;-1,465;20,787;-1,362;-1,764
"ancêtre";1,172;-0,033;-0,115;-0,013;-0,124
"amoureux";0;0,721;-0,115;-1,362;0,389
"amiral";-0,607;-0,732;10,381;-0,68;-0,881
"aide";-0,607;4,226;0,205;-0,68;-0,881
"agrément";0;-0,033;-1,74;9,281;-1,764
"agité";0,192;-0,976;1,748;-0,907;0,012
"affaiblir";29,742;-1,465;-1,74;-1,362;-1,764
"adresser";-0,81;0,074;0,015;0,114;0,012
"adresse";0,192;0,074;0,015;-0,907;0,012
"actif";-1,216;-0,033;-1,74;-1,362;12,616
"accumuler";-0,81;0,074;-1,159;2,646;0,012
"accident";0,036;0,001;0,888;0,008;-1,47
"absurde";1,172;-1,465;-1,74;-1,362;6,635
"abondant";0,036;-1,221;-1,45;5,74;-0,021
"évidence";-1,013;11,606;-1,45;0,008;-1,47
"évanouir";-0,607;-0,732;3,375;-0,68;0,194
"éternité";-1,013;-1,221;-1,45;-1,135;17,079
"étaler";0,192;0,074;-1,159;-0,907;1,705
"édit";14,293;-1,221;-1,45;0,008;-1,47
"écouler";3,152;-0,976;0,015;-0,907;0,012
"violence";14,293;-1,221;-1,45;-1,135;-0,021
"ventre";-0,81;-0,976;13,847;-0,907;-1,175
"université";-0,607;-0,732;3,375;0,441;-0,881
"unanime";1,924;0,001;-1,45;0,008;-0,021
"troupeau";0,192;-0,976;0,015;-0,907;1,705
"trouble";6,676;-1,221;-1,45;0,008;-0,021
"triomphe";0,192;-0,976;-1,159;0,114;1,705
"traduire";-0,607;4,226;0,205;-0,68;-0,881
"tourment";1,924;-1,221;-1,45;-1,135;3,979
"tort";1,924;0,001;-1,45;1,543;-1,47
"taire";0,585;0,36;0,205;-0,68;-0,881
"tache";-0,81;-0,976;0,015;-0,907;6,253
"sérail";-0,607;0,36;3,375;-0,68;-0,881
"séduire";-0,81;7,809;0,015;-0,907;-1,175
"sécher";0,192;-0,976;0,015;0,114;0,012
"sur_le_champ";-0,81;-0,976;13,847;-0,907;-1,175
"spacieux";-0,81;-0,976;-1,159;17,689;-1,175
"souiller";0,585;0,36;-0,869;0,441;-0,881
"sonner";0,585;-0,732;3,375;-0,68;-0,881
"sixième";-0,607;-0,732;10,381;-0,68;-0,881
"situation";-0,607;0,36;-0,869;0,441;0,194
"sire";-1,013;-1,221;17,316;-1,135;-1,47
"simplicité";-0,81;2,352;-1,159;0,114;0,012
"serpent";-1,013;-1,221;-0,017;-1,135;9,386
"serein";-1,013;-1,221;-1,45;-1,135;17,079
"sensation";1,924;-1,221;-1,45;0,008;0,857
"semer";-0,81;-0,976;-1,159;-0,907;13,657
"semaine";0,585;-0,732;0,205;0,441;-0,881
"secourir";0,585;-0,732;0,205;-0,68;0,194
"secouer";0,192;-0,976;-1,159;0,114;1,705
"saison";0,585;-0,732;-0,869;-0,68;3,314
"sacrifier";19,812;-0,976;-1,159;-0,907;-1,175
"révoltant";0,192;-0,976;-1,159;2,646;0,012
"résider";6,676;-1,221;-1,45;-1,135;0,857
"réjouir";0,192;-0,976;-1,159;2,646;0,012
"réfugier";0,585;-0,732;3,375;-0,68;-0,881
"ruisseau";0,192;-0,976;1,748;-0,907;0,012
"roue";0,585;-0,732;-0,869;0,441;0,194
"ronde";-0,607;-0,732;-0,869;4,635;0,194
"romain";0,036;1,325;-1,45;1,543;-1,47
"ressentir";-0,81;-0,976;0,015;-0,907;6,253
"renoncer";-0,81;2,352;1,748;-0,907;-1,175
"renommée";-1,013;-1,221;-1,45;12,599;-0,021
"renfermé";-0,607;0,36;-0,869;4,635;-0,881
"renaître";-0,607;-0,732;-0,869;-0,68;10,239
"regret";-1,013;1,325;-1,45;1,543;-0,021
"redoutable";3,152;-0,976;-1,159;-0,907;1,705
"ravir";-0,607;-0,732;3,375;0,441;-0,881
"racheter";-0,81;0,074;1,748;0,114;-1,175
"quantité";0,585;0,36;0,205;-0,68;-0,881
"prévoir";-0,81;7,809;0,015;-0,907;-1,175
"précisément";0,585;0,36;-0,869;-0,68;0,194
"précipice";0,585;-0,732;0,205;0,441;-0,881
"prudent";-1,013;-1,221;9,537;0,008;-1,47
"provincial";-0,607;-0,732;10,381;-0,68;-0,881
"propriété";0,192;2,352;-1,159;0,114;-1,175
"propreté";-0,81;-0,976;0,015;8,505;-1,175
